,id,text,author_id,in_reply_to_user_id,author,referenced_tweets,username
16,1222973621137702913,@DukeMarcude @GeraldKutney Ask him about eating meat 🥩and the agricultural industry? There the SCIENCE he accepts 😂 😂 😂 #climatebrawl #climatechange #CLIMATEHOAX,867077976210513920,595410488.0,"{""protected"":false,""id"":""867077976210513920"",""url"":"""",""name"":""Voice Of Insane"",""created_at"":""2017-05-23T18:01:13.000Z"",""verified"":false,""username"":""insane_voice"",""location"":""Always QUESTION "",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""description"":""Fossil fueled FUTURE..."",""pinned_tweet_id"":""1529816483433357312"",""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14}}","[{""type"":""replied_to"",""id"":""1222953672117800960"",""in_reply_to_user_id"":""904408999"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""GeraldKutney"",""id"":""904408999""}],""urls"":[{""start"":195,""end"":218,""url"":""https://t.co/BJjzy2cLEY"",""expanded_url"":""https://twitter.com/DukeMarcude/status/1222866630860034055?s=20"",""display_url"":""twitter.com/DukeMarcude/st…""}]},""public_metrics"":{""retweet_count"":0,""reply_count"":3,""like_count"":0,""quote_count"":0},""reply_settings"":""everyone"",""created_at"":""2020-01-30T18:44:11.000Z"",""conversation_id"":""1222931982755168256"",""lang"":""en"",""author_id"":""595410488"",""text"":""@GeraldKutney Fiesty.  Now let's see if you are unbiased.  What is your view of the environmental impact of wind turbines?  Full life cycle only please.  It seems to another detail overlooked.  \nhttps://t.co/BJjzy2cLEY"",""source"":""Twitter Web App"",""possibly_sensitive"":false,""referenced_tweets"":[{""type"":""quoted"",""id"":""1222866630860034055""},{""type"":""replied_to"",""id"":""1222947576707678209""}]}]",Voice Of Insane
24,1222957344281321472,"@GZzyzyx @GeraldKutney Dear Genie... 😂 The #climatechange theory is based on flat earth hypothesis
#climatebrawl #ClimateHoax #CLIMATEHOAX https://t.co/Yk3HI3qPhF",867077976210513920,1.2109861698249974e+18,"{""protected"":false,""id"":""867077976210513920"",""url"":"""",""name"":""Voice Of Insane"",""created_at"":""2017-05-23T18:01:13.000Z"",""verified"":false,""username"":""insane_voice"",""location"":""Always QUESTION "",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""description"":""Fossil fueled FUTURE..."",""pinned_tweet_id"":""1529816483433357312"",""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14}}","[{""type"":""replied_to"",""id"":""1222949060472004608"",""in_reply_to_user_id"":""904408999"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""GeraldKutney"",""id"":""904408999""}],""annotations"":[{""start"":53,""end"":56,""probability"":0.7021,""type"":""Organization"",""normalized_text"":""NASA""}]},""public_metrics"":{""retweet_count"":0,""reply_count"":1,""like_count"":0,""quote_count"":0},""reply_settings"":""everyone"",""created_at"":""2020-01-30T18:25:51.000Z"",""conversation_id"":""1222948524511367170"",""lang"":""en"",""author_id"":""1210986169824997377"",""text"":""@GeraldKutney maybe they’re team flatearth and think NASA is fake 👽"",""source"":""Twitter for iPhone"",""possibly_sensitive"":false,""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222948524511367170""}]}]",Voice Of Insane
25,1222955581985755138,"@inmyownfashion @GeraldKutney In fact, that is what Gerald does. He LITERALLY sells #climatechange for a living. That is his job. 😂 😂 😂 😂 The HYPOCRACY! #climatebrawl #CLIMATEHOAX",867077976210513920,1.1874958788582932e+18,"{""protected"":false,""id"":""867077976210513920"",""url"":"""",""name"":""Voice Of Insane"",""created_at"":""2017-05-23T18:01:13.000Z"",""verified"":false,""username"":""insane_voice"",""location"":""Always QUESTION "",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""description"":""Fossil fueled FUTURE..."",""pinned_tweet_id"":""1529816483433357312"",""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14}}","[{""type"":""replied_to"",""id"":""1222949300977700866""}]",Voice Of Insane
26,1222953428772630528,@SNISGeneva @ETH_en WHAT? 😂 😂 😂 you are discussing SETTLED SCIENCE? HOW DARE YOU!  #climatebrawl #climatechange #CLIMATEHOAX,867077976210513920,948142675.0,"{""protected"":false,""id"":""867077976210513920"",""url"":"""",""name"":""Voice Of Insane"",""created_at"":""2017-05-23T18:01:13.000Z"",""verified"":false,""username"":""insane_voice"",""location"":""Always QUESTION "",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""description"":""Fossil fueled FUTURE..."",""pinned_tweet_id"":""1529816483433357312"",""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14}}","[{""type"":""replied_to"",""id"":""1222952393211629569"",""entities"":{""mentions"":[{""start"":232,""end"":239,""username"":""ETH_en"",""id"":""204279080""}],""hashtags"":[{""start"":85,""end"":97,""tag"":""Environment""},{""start"":99,""end"":113,""tag"":""ClimateChange""},{""start"":115,""end"":125,""tag"":""Migration""},{""start"":130,""end"":139,""tag"":""Conflict""},{""start"":152,""end"":163,""tag"":""SNISfunded""},{""start"":164,""end"":173,""tag"":""research""}],""annotations"":[{""start"":189,""end"":205,""probability"":0.6055,""type"":""Person"",""normalized_text"":""Prof. Vally Koubi""}],""urls"":[{""start"":208,""end"":231,""url"":""https://t.co/iDk96Y3Wwp"",""expanded_url"":""https://bit.ly/2RMaLXJ"",""display_url"":""bit.ly/2RMaLXJ""}]},""public_metrics"":{""retweet_count"":0,""reply_count"":2,""like_count"":0,""quote_count"":0},""reply_settings"":""everyone"",""created_at"":""2020-01-30T18:39:06.000Z"",""conversation_id"":""1222952393211629569"",""lang"":""en"",""author_id"":""948142675"",""text"":""Tomorrow, the SNIS team will be attending the international workshop on the nexus of #Environment, #ClimateChange, #Migration and #Conflict . This is a #SNISfunded #research project les by Prof. Vally Koubi: https://t.co/iDk96Y3Wwp\n@ETH_en @SNISlive"",""source"":""Twitter Web App"",""context_annotations"":[{""domain"":{""id"":""30"",""name"":""Entities [Entity Service]"",""description"":""Entity Service top level domain, every item that is in Entity Service should be in this domain""},""entity"":{""id"":""854692455005921281"",""name"":""Science"",""description"":""Science""}},{""domain"":{""id"":""66"",""name"":""Interests and Hobbies Category"",""description"":""A grouping of interests and hobbies entities, like Novelty Food or Destinations""},""entity"":{""id"":""857083369514876928"",""name"":""Weather"",""description"":""Weather""}}],""possibly_sensitive"":false}]",Voice Of Insane
27,1222953130507239432,@CSRtist Are your fancy eyewear included in that ban...? You know the one you change every 2 months to stay in fashion #climatebrawl #climatechange #CLIMATEHOAX,867077976210513920,2729372027.0,"{""protected"":false,""id"":""867077976210513920"",""url"":"""",""name"":""Voice Of Insane"",""created_at"":""2017-05-23T18:01:13.000Z"",""verified"":false,""username"":""insane_voice"",""location"":""Always QUESTION "",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""description"":""Fossil fueled FUTURE..."",""pinned_tweet_id"":""1529816483433357312"",""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14}}","[{""type"":""replied_to"",""id"":""1222952443576758276"",""public_metrics"":{""retweet_count"":0,""reply_count"":2,""like_count"":1,""quote_count"":0},""reply_settings"":""everyone"",""created_at"":""2020-01-30T18:39:18.000Z"",""conversation_id"":""1222952443576758276"",""entities"":{""hashtags"":[{""start"":100,""end"":108,""tag"":""canpoli""},{""start"":109,""end"":122,""tag"":""plasticwaste""},{""start"":123,""end"":131,""tag"":""plastic""},{""start"":132,""end"":149,""tag"":""plasticpollution""},{""start"":150,""end"":164,""tag"":""climatecrisis""},{""start"":165,""end"":179,""tag"":""climatechange""},{""start"":180,""end"":195,""tag"":""sustainability""}],""annotations"":[{""start"":12,""end"":17,""probability"":0.8933,""type"":""Place"",""normalized_text"":""Canada""}],""urls"":[{""start"":75,""end"":98,""url"":""https://t.co/TLXQDZ4zAC"",""expanded_url"":""https://www.cbc.ca/news/politics/environment-canada-report-plastics-ban-1.5445611"",""display_url"":""cbc.ca/news/politics/…""}]},""lang"":""en"",""author_id"":""2729372027"",""text"":""Environment Canada to release science review backing need for plastics ban https://t.co/TLXQDZ4zAC\n\n#canpoli #plasticwaste #plastic #plasticpollution #climatecrisis #climatechange #sustainability"",""source"":""Twitter Web App"",""context_annotations"":[{""domain"":{""id"":""30"",""name"":""Entities [Entity Service]"",""description"":""Entity Service top level domain, every item that is in Entity Service should be in this domain""},""entity"":{""id"":""854692455005921281"",""name"":""Science"",""description"":""Science""}},{""domain"":{""id"":""66"",""name"":""Interests and Hobbies Category"",""description"":""A grouping of interests and hobbies entities, like Novelty Food or Destinations""},""entity"":{""id"":""857083369514876928"",""name"":""Weather"",""description"":""Weather""}}],""possibly_sensitive"":false}]",Voice Of Insane
29,1222951432996950017,#climatebrawl #climatechange #CLIMATEHOAX 😂 😂 😂 https://t.co/ByrzINuIpk,867077976210513920,,"{""protected"":false,""id"":""867077976210513920"",""url"":"""",""name"":""Voice Of Insane"",""created_at"":""2017-05-23T18:01:13.000Z"",""verified"":false,""username"":""insane_voice"",""location"":""Always QUESTION "",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""description"":""Fossil fueled FUTURE..."",""pinned_tweet_id"":""1529816483433357312"",""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14}}",,Voice Of Insane
30,1222950413948870656,"@BadgersNo @JordanBassior @ammocrypta @TheDisproof @aSinister @OscarsWild1 @DawnTJ90 @igkolev @MKahn84 @GillesnFio @wlbeeton @Matt_Clough @DieterFrikadell @donsmithshow2 @Schtickery @JamesRider3 @rumpledrumskin @TQMKA @PaprikaLady @AltUS_ARC @baltree @bfraser747 @TurtleFL @NIMN2019 @Jamz129 @MartinJBern @Stephen90045069 @Xshnargloth_II @ItsTheAtmospher @Paulward44 @jwickers @JonLeSage4 @ronin47 @PrimleyJack @CromwellStuff @wolfie_smythe @UreyZen @Anthony_James_X @Over400ppm @philamina95 @midacre @Youcantbeserio6 @Ozwino @enecosse69 @GTMGQ @FriendsOScience @ranger_ivan @JohnPic36508489 @CaraGraesser @91996340e81d45a Must be gigantic CO2 molecules... #climatebrawl #climatechange #CLIMATEHOAX 😂 😂 😂
He thinks there is a layer of CO2 and below that a ultrathick layer if AGW CO2 blocking IR from space.. https://t.co/6u31AKtN5h",867077976210513920,22060331.0,"{""protected"":false,""id"":""867077976210513920"",""url"":"""",""name"":""Voice Of Insane"",""created_at"":""2017-05-23T18:01:13.000Z"",""verified"":false,""username"":""insane_voice"",""location"":""Always QUESTION "",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""description"":""Fossil fueled FUTURE..."",""pinned_tweet_id"":""1529816483433357312"",""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14}}","[{""type"":""replied_to"",""id"":""1222948719584137216"",""in_reply_to_user_id"":""933581798012940289"",""entities"":{""mentions"":[{""start"":0,""end"":14,""username"":""JordanBassior"",""id"":""933581798012940289""},{""start"":15,""end"":26,""username"":""ammocrypta"",""id"":""310003884""},{""start"":27,""end"":40,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":41,""end"":53,""username"":""TheDisproof"",""id"":""933440778394841088""},{""start"":54,""end"":64,""username"":""aSinister"",""id"":""2855137220""},{""start"":65,""end"":77,""username"":""OscarsWild1"",""id"":""1084911963317112832""},{""start"":78,""end"":87,""username"":""DawnTJ90"",""id"":""1090739797386117121""},{""start"":88,""end"":96,""username"":""igkolev"",""id"":""441158939""},{""start"":97,""end"":105,""username"":""MKahn84"",""id"":""366759146""},{""start"":106,""end"":117,""username"":""GillesnFio"",""id"":""214173267""},{""start"":118,""end"":127,""username"":""wlbeeton"",""id"":""861198402""},{""start"":128,""end"":140,""username"":""Matt_Clough"",""id"":""232873335""},{""start"":141,""end"":157,""username"":""DieterFrikadell"",""id"":""817123525207199744""},{""start"":158,""end"":172,""username"":""donsmithshow2"",""id"":""946422180706955264""},{""start"":173,""end"":184,""username"":""Schtickery"",""id"":""1094091174""},{""start"":185,""end"":197,""username"":""JamesRider3"",""id"":""379394639""},{""start"":198,""end"":213,""username"":""rumpledrumskin"",""id"":""1260489115""},{""start"":214,""end"":220,""username"":""TQMKA"",""id"":""115325743""},{""start"":221,""end"":233,""username"":""PaprikaLady"",""id"":""750299424513990656""},{""start"":234,""end"":244,""username"":""AltUS_ARC"",""id"":""824338843327361024""},{""start"":245,""end"":253,""username"":""baltree"",""id"":""27196598""},{""start"":254,""end"":265,""username"":""bfraser747"",""id"":""274891222""},{""start"":266,""end"":275,""username"":""turtlefl"",""id"":""1496759684790902784""},{""start"":286,""end"":294,""username"":""Jamz129"",""id"":""1066918647174590464""},{""start"":295,""end"":307,""username"":""MartinJBern"",""id"":""1092521869""},{""start"":308,""end"":324,""username"":""Stephen90045069"",""id"":""1021558707069636613""},{""start"":325,""end"":340,""username"":""Xshnargloth_II"",""id"":""740641262362038272""},{""start"":341,""end"":357,""username"":""ItsTheAtmospher"",""id"":""611216143""},{""start"":358,""end"":369,""username"":""Paulward44"",""id"":""865455346680184832""},{""start"":370,""end"":379,""username"":""jwickers"",""id"":""46086956""},{""start"":392,""end"":400,""username"":""Ronin47"",""id"":""1275896525889998850""},{""start"":401,""end"":413,""username"":""PrimleyJack"",""id"":""776419358989885440""},{""start"":414,""end"":428,""username"":""CromwellStuff"",""id"":""2785680441""},{""start"":429,""end"":443,""username"":""wolfie_smythe"",""id"":""1602008330""},{""start"":444,""end"":452,""username"":""UreyZen"",""id"":""1157657631189798912""},{""start"":470,""end"":481,""username"":""Over400ppm"",""id"":""2433154158""},{""start"":482,""end"":494,""username"":""philamina95"",""id"":""1163878643636084737""},{""start"":495,""end"":503,""username"":""midacre"",""id"":""176889638""},{""start"":504,""end"":520,""username"":""Youcantbeserio6"",""id"":""1087788977677950976""},{""start"":521,""end"":528,""username"":""Ozwino"",""id"":""75248321""},{""start"":529,""end"":540,""username"":""enecosse69"",""id"":""1099031035826921472""},{""start"":541,""end"":547,""username"":""GTMGQ"",""id"":""19111502""},{""start"":548,""end"":564,""username"":""FriendsOScience"",""id"":""1004694289""},{""start"":565,""end"":577,""username"":""ranger_ivan"",""id"":""17698889""},{""start"":578,""end"":594,""username"":""JohnPic36508489"",""id"":""1037923041328517120""},{""start"":595,""end"":608,""username"":""CaraGraesser"",""id"":""1154848163645284353""},{""start"":609,""end"":625,""username"":""91996340e81d45a"",""id"":""2969418082""}]},""public_metrics"":{""retweet_count"":0,""reply_count"":2,""like_count"":0,""quote_count"":0},""reply_settings"":""everyone"",""created_at"":""2020-01-30T18:24:30.000Z"",""conversation_id"":""857857230997213184"",""lang"":""en"",""author_id"":""22060331"",""text"":""@JordanBassior @ammocrypta @insane_voice @TheDisproof @aSinister @OscarsWild1 @DawnTJ90 @igkolev @MKahn84 @GillesnFio @wlbeeton @Matt_Clough @DieterFrikadell @donsmithshow2 @Schtickery @JamesRider3 @rumpledrumskin @TQMKA @PaprikaLady @AltUS_ARC @baltree @bfraser747 @TurtleFL @NIMN2019 @Jamz129 @MartinJBern @Stephen90045069 @Xshnargloth_II @ItsTheAtmospher @Paulward44 @jwickers @JonLeSage4 @ronin47 @PrimleyJack @CromwellStuff @wolfie_smythe @UreyZen @Anthony_James_X @Over400ppm @philamina95 @midacre @Youcantbeserio6 @Ozwino @enecosse69 @GTMGQ @FriendsOScience @ranger_ivan @JohnPic36508489 @CaraGraesser @91996340e81d45a How much IR does co2 block? What is a \""significant\"" \""quantity\"" of IR light? \nIs it possible to have KILOMETRES of co2 \""thickness\""?"",""source"":""Twitter Web App"",""possibly_sensitive"":false,""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222740093594525698""}]}]",Voice Of Insane
33,1222947370721255424,@GrannyRevHub @fordnation Prosecute me? 😂 😂 😂 You have to PROVE (in COURT)  #climatechange first.... You can't. Its a THEORY and a #CLIMATEHOAX 😂 😂 😂 😂 😂 #climatebrawl https://t.co/UVb91CqA6T,867077976210513920,1412827658.0,"{""protected"":false,""id"":""867077976210513920"",""url"":"""",""name"":""Voice Of Insane"",""created_at"":""2017-05-23T18:01:13.000Z"",""verified"":false,""username"":""insane_voice"",""location"":""Always QUESTION "",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""description"":""Fossil fueled FUTURE..."",""pinned_tweet_id"":""1529816483433357312"",""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14}}","[{""type"":""replied_to"",""id"":""1222943200488382464""}]",Voice Of Insane
44,1222929232575246336,"@GrannyRevHub So the climate has changed naturally, as it always has, is and always will change.... #climatebrawl #climatechange #CLIMATEHOAX
As for a paying troll job, I wouldn't know. @GeraldKutney is paid to troll 👺. Twitter banished him for a while. 😂😂😂😂😂 https://t.co/uA0hey6DO9",867077976210513920,1412827658.0,"{""protected"":false,""id"":""867077976210513920"",""url"":"""",""name"":""Voice Of Insane"",""created_at"":""2017-05-23T18:01:13.000Z"",""verified"":false,""username"":""insane_voice"",""location"":""Always QUESTION "",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""description"":""Fossil fueled FUTURE..."",""pinned_tweet_id"":""1529816483433357312"",""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14}}","[{""type"":""replied_to"",""id"":""1222927553540841474""}]",Voice Of Insane
45,1222927943128834051,"@JordanBassior @ammocrypta @BadgersNo @TheDisproof @aSinister @OscarsWild1 @DawnTJ90 @igkolev @MKahn84 @GillesnFio @wlbeeton @Matt_Clough @DieterFrikadell @donsmithshow2 @Schtickery @JamesRider3 @rumpledrumskin @TQMKA @PaprikaLady @AltUS_ARC @baltree @bfraser747 @TurtleFL @NIMN2019 @Jamz129 @MartinJBern @Stephen90045069 @Xshnargloth_II @ItsTheAtmospher @Paulward44 @jwickers @JonLeSage4 @ronin47 @PrimleyJack @CromwellStuff @wolfie_smythe @UreyZen @Anthony_James_X @Over400ppm @philamina95 @midacre @Youcantbeserio6 @Ozwino @enecosse69 @GTMGQ @FriendsOScience @ranger_ivan @JohnPic36508489 @CaraGraesser @91996340e81d45a So answer the simple questions? #climatebrawl #climatechange #CLIMATEHOAX You have gone full circle in NOT proving GHE... You have described a gas with emotions, care, preferences &amp; likes &amp; dislikes... 😂 😂 😂 Now answer the original simple questions https://t.co/DYF8PzufGD",867077976210513920,9.335817980129403e+17,"{""protected"":false,""id"":""867077976210513920"",""url"":"""",""name"":""Voice Of Insane"",""created_at"":""2017-05-23T18:01:13.000Z"",""verified"":false,""username"":""insane_voice"",""location"":""Always QUESTION "",""profile_image_url"":""https://pbs.twimg.com/profile_images/1204166079783854080/IwGiosq5_normal.jpg"",""description"":""Fossil fueled FUTURE..."",""pinned_tweet_id"":""1529816483433357312"",""public_metrics"":{""followers_count"":506,""following_count"":94,""tweet_count"":102432,""listed_count"":14}}","[{""type"":""replied_to"",""id"":""1222808719987097600"",""in_reply_to_user_id"":""867077976210513920"",""entities"":{""mentions"":[{""start"":0,""end"":13,""username"":""insane_voice"",""id"":""867077976210513920""},{""start"":14,""end"":25,""username"":""ammocrypta"",""id"":""310003884""},{""start"":26,""end"":36,""username"":""BadgersNo"",""id"":""22060331""},{""start"":37,""end"":49,""username"":""TheDisproof"",""id"":""933440778394841088""},{""start"":50,""end"":60,""username"":""aSinister"",""id"":""2855137220""},{""start"":61,""end"":73,""username"":""OscarsWild1"",""id"":""1084911963317112832""},{""start"":74,""end"":83,""username"":""DawnTJ90"",""id"":""1090739797386117121""},{""start"":84,""end"":92,""username"":""igkolev"",""id"":""441158939""},{""start"":93,""end"":101,""username"":""MKahn84"",""id"":""366759146""},{""start"":102,""end"":113,""username"":""GillesnFio"",""id"":""214173267""},{""start"":114,""end"":123,""username"":""wlbeeton"",""id"":""861198402""},{""start"":124,""end"":136,""username"":""Matt_Clough"",""id"":""232873335""},{""start"":137,""end"":153,""username"":""DieterFrikadell"",""id"":""817123525207199744""},{""start"":154,""end"":168,""username"":""donsmithshow2"",""id"":""946422180706955264""},{""start"":169,""end"":180,""username"":""Schtickery"",""id"":""1094091174""},{""start"":181,""end"":193,""username"":""JamesRider3"",""id"":""379394639""},{""start"":194,""end"":209,""username"":""rumpledrumskin"",""id"":""1260489115""},{""start"":210,""end"":216,""username"":""TQMKA"",""id"":""115325743""},{""start"":217,""end"":229,""username"":""PaprikaLady"",""id"":""750299424513990656""},{""start"":230,""end"":240,""username"":""AltUS_ARC"",""id"":""824338843327361024""},{""start"":241,""end"":249,""username"":""baltree"",""id"":""27196598""},{""start"":250,""end"":261,""username"":""bfraser747"",""id"":""274891222""},{""start"":262,""end"":271,""username"":""turtlefl"",""id"":""1496759684790902784""},{""start"":282,""end"":290,""username"":""Jamz129"",""id"":""1066918647174590464""},{""start"":291,""end"":303,""username"":""MartinJBern"",""id"":""1092521869""},{""start"":304,""end"":320,""username"":""Stephen90045069"",""id"":""1021558707069636613""},{""start"":321,""end"":336,""username"":""Xshnargloth_II"",""id"":""740641262362038272""},{""start"":337,""end"":353,""username"":""ItsTheAtmospher"",""id"":""611216143""},{""start"":354,""end"":365,""username"":""Paulward44"",""id"":""865455346680184832""},{""start"":366,""end"":375,""username"":""jwickers"",""id"":""46086956""},{""start"":388,""end"":396,""username"":""Ronin47"",""id"":""1275896525889998850""},{""start"":397,""end"":409,""username"":""PrimleyJack"",""id"":""776419358989885440""},{""start"":410,""end"":424,""username"":""CromwellStuff"",""id"":""2785680441""},{""start"":425,""end"":439,""username"":""wolfie_smythe"",""id"":""1602008330""},{""start"":440,""end"":448,""username"":""UreyZen"",""id"":""1157657631189798912""},{""start"":466,""end"":477,""username"":""Over400ppm"",""id"":""2433154158""},{""start"":478,""end"":490,""username"":""philamina95"",""id"":""1163878643636084737""},{""start"":491,""end"":499,""username"":""midacre"",""id"":""176889638""},{""start"":500,""end"":516,""username"":""Youcantbeserio6"",""id"":""1087788977677950976""},{""start"":517,""end"":524,""username"":""Ozwino"",""id"":""75248321""},{""start"":525,""end"":536,""username"":""enecosse69"",""id"":""1099031035826921472""},{""start"":537,""end"":543,""username"":""GTMGQ"",""id"":""19111502""},{""start"":544,""end"":560,""username"":""FriendsOScience"",""id"":""1004694289""},{""start"":561,""end"":573,""username"":""ranger_ivan"",""id"":""17698889""},{""start"":574,""end"":590,""username"":""JohnPic36508489"",""id"":""1037923041328517120""},{""start"":591,""end"":604,""username"":""CaraGraesser"",""id"":""1154848163645284353""},{""start"":605,""end"":621,""username"":""91996340e81d45a"",""id"":""2969418082""}]},""public_metrics"":{""retweet_count"":0,""reply_count"":5,""like_count"":4,""quote_count"":0},""reply_settings"":""everyone"",""created_at"":""2020-01-30T09:08:12.000Z"",""conversation_id"":""857857230997213184"",""lang"":""en"",""author_id"":""933581798012940289"",""text"":""@insane_voice @ammocrypta @BadgersNo @TheDisproof @aSinister @OscarsWild1 @DawnTJ90 @igkolev @MKahn84 @GillesnFio @wlbeeton @Matt_Clough @DieterFrikadell @donsmithshow2 @Schtickery @JamesRider3 @rumpledrumskin @TQMKA @PaprikaLady @AltUS_ARC @baltree @bfraser747 @TurtleFL @NIMN2019 @Jamz129 @MartinJBern @Stephen90045069 @Xshnargloth_II @ItsTheAtmospher @Paulward44 @jwickers @JonLeSage4 @ronin47 @PrimleyJack @CromwellStuff @wolfie_smythe @UreyZen @Anthony_James_X @Over400ppm @philamina95 @midacre @Youcantbeserio6 @Ozwino @enecosse69 @GTMGQ @FriendsOScience @ranger_ivan @JohnPic36508489 @CaraGraesser @91996340e81d45a No, I'm explaining why there IS as greenhouse effect.  And you're demonstrating that you don't grasp atmospheric physics even at the MOST basic level."",""source"":""Twitter Web App"",""context_annotations"":[{""domain"":{""id"":""30"",""name"":""Entities [Entity Service]"",""description"":""Entity Service top level domain, every item that is in Entity Service should be in this domain""},""entity"":{""id"":""854692455005921281"",""name"":""Science"",""description"":""Science""}},{""domain"":{""id"":""30"",""name"":""Entities [Entity Service]"",""description"":""Entity Service top level domain, every item that is in Entity Service should be in this domain""},""entity"":{""id"":""847899195566510080"",""name"":""Physics"",""description"":""Physics""}}],""possibly_sensitive"":false,""referenced_tweets"":[{""type"":""replied_to"",""id"":""1222808153009676288""}]}]",Voice Of Insane
